"1 AAAI AAAI Conference on Artificial Intelligence","A1"
"2 ACL-SIGSEM ACL SIGSEM Workshop on Prepositions","B3"
"3 CCS ACM Conference on Computer and Communications Security","B2"
"4 CSCW ACM Conference on Computer Supported Cooperative Work","A1"
"5 EC ACM Conference on Electronic Commerce","B3"
"6 SENSYS ACM Conference on Embedded Networked Sensor Systems","B2"
"7 EMSOFT ACM Conference on Embedded Software","B2"
"8 Hypertext ACM Conference on Hypertext and Hypermedia","A2"
"9 SIGMETRICS ACM Conference on Measurement and Modelling of Computing Systems","A1"
"10 DUX ACM Designing for User Experience Conference","B4"
"11 GLSVLSI ACM Great Lakes Symposium on VLSI","B3"
"12 Group ACM Group Conference","B5"
"13 JCDL ACM IEEE Joint Conference on Digital Libraries","B3"
"14 SIGGRAPH ACM International Conference on Computer Graphics and Interactive Techniques","A2"
"15 CF ACM International Conference on Computing Frontiers","B2"
"16 SIGDOC ACM International Conference on Design of Communication","B3"
"17 CIVR ACM International Conference on Image and Video Retrieval","B2"
"18 IAT ACM International Conference on Intelligent Agent Technology","B4"
"19 MOBICOM ACM International Conference on Mobile Computing and Networking","B2"
"20 ICS ACM International Conference on Supercomputing","B2"
"21 ACM-GIS ACM International Symposium on Advances in Geographic Information Systems","B4"
"22 ISCA ACM International Symposium on Computer Architecture","A1"
"23 ISPD ACM International Symposium on Physical Design","B4"
"24 IWCMC ACM International Wireless Communications and Mobile Computing Conference","B4"
"25 MobiWac ACM International Workshop on Mobility Management and Wireless Access","B3"
"26 MIR ACM International Workshop on Multimedia Information Retrieval","B4"
"27 PE-WASUN ACM International Workshop on Performance Evaluation of Wireless Ad Hoc_ Sensor_ and Ubiquitous Networks","B4"
"28 VSSN ACM International Workshop on Video Surveillance and Sensor Networks","B4"
"29 WIDM ACM International Workshop on Web Information and Data Management","B4"
"30 ACM-MM ACM Multimedia Conference","B3"
"31 RecSys ACM Recommender Systems Conference","B5"
"32 PODS ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems","B2"
"33 SCA ACM SIGGRAPH / Eurographics Symposium on Computer Animation","B3"
"34 VRCIA ACM SIGGRAPH International Conference on Virtual-Reality Continuum and its Applications in Industry","B5"
"35 Sandbox ACM SIGGRAPH Sandbox Symposium on Videogames","B4"
"36 KDD ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems","B1"
"37 Mobisys ACM SIGMOBILE International Conference on Mobile Systems_ Applications and Services","B3"
"38 SIGMOD ACM SIGMOD International Conference on Management of Data Conference","A1"
"39 LTCES ACM SIGPLAN Conference on Languages_ Tools_ and Compilers for Embedded Systems","B5"
"40 FSE ACM SIGSOFT Conference on the Foundations of Software Engineering","B1"
"41 SSR ACM SIGSOFT Working Conference on Software Reusability","B3"
"42 SIGCOMM ACM Special Interest Group on Data Communications Conference","A1"
"43 MOBIHOC ACM Symposium of Mobile and Ad-hoc Computing","B3"
"44 SACMAT ACM Symposium on Access Control Models and Technologies","B4"
"45 SAC ACM Symposium on Applied Computing","B3"
"46 DocEng ACM Symposium on Document Engineering","B4"
"47 I3D ACM Symposium on Interactive 3D Graphics and Games","B4"
"48 SPAA ACM Symposium on Parallel Algorithms and Architectures","B3"
"49 PODC ACM Symposium on Principles of Distributed Computing","B2"
"50 STOC ACM Symposium on Theory of Computing","B2"
"51 UIST ACM Symposium on User Interface Software and Technology","B2"
"52 VRST ACM Virtual Reality Software and Technology","B3"
"53 DRM ACM Workshop on Digital Rights Management","B3"
"54 WORM ACM Workshop on Recurring Malcode","B4"
"55 SODA ACM-SIAM Symposium on Discrete Algorithms","B3"
"56 POPL ACM-SIGACT Symposium on Principles of Programming Languages","B3"
"57 SOSP ACM-SIGOPS Symposium on Operating Systems Principles","B3"
"58 PPDP ACM-SIGPLAN International Conference on Principles and Practice of Declarative Programming","B4"
"59 PLDI ACM-SIGPLAN Symposium on Programming Language Design andImplementation","B3"
"60 SC ACM/IEEE Conference on High Performance Networking and Computing","B2"
"61 MODELS ACM/IEEE International Conference on Model-Driven Engineering Languages and Systems","A2"
"62 MSWIM ACM/IEEE International Conference on Modelling_ Analysis and Simulation of Wireless and Mobile Systems","B4"
"63 ICSE ACM/IEEE International Conference on Software Engineering","A2"
"64 SUPER ACM/IEEE Supercomputing Conference","B4"
"65 PADS ACM/IEEE/SCS Workshop on Parallel and Distributed Simulation","B2"
"66 Middleware ACM/IFIP/USENIX International Middleware Conference","A2"
"67 IMC ACM/SIGCOMM Internet Measurement Conference","B2"
"68 FPGA ACM/SIGDA International Symposium on Field-Programmable Gate Arrays","B5"
"69 MMCN ACM/SPIE Multimedia Computing and Networking","B2"
"70 ACIVS Advanced Concepts for Intelligent Vision Systems Conference","B3"
"71 AiML Advances in Modal Logic","B2"
"72 ABS Agent-based Simulation Workshop","B3"
"73 AOIS Agent-Oriented Information Systems Workshop","B2"
"74 ATT Agents in Traffic and Transportation","B5"
"75 AGILE Agile Conference","B2"
"76 AGILE AGILE Conference on Geographic Information Science","B2"
"77 ALEX Algorithms and Experiments","B5"
"78 ACC American Control Conference","B2"
"79 AMCIS Americas Conference on Information Systems","B1"
"80 OOPSLA Annual ACM Conference on Object-Oriented Programming_ Systems_ Languages and Applications","A2"
